,id,accountId,puuid,name,profileIconId,revisionDate,summonerLevel
26,kUkryVK5HmioXh594OWrLiqAjOxAmXOPU478MQHf40WshkI,zJIOSKo0CWvfJHqDL_rrhxNlR7CWm2ItJuJJm2bqmqUgSro,a0othP_UeuCXQ0zzLtAYkP-xm_keBlnsSE5PLb9JrwWDFkvcz41sfNLCkOrehZhQF21KRzG8EBuUYg,r1m,17,1681720619240,376
27,y6NstCLLSpEKD7PaJPOXvID5KVl1FHutbYA1dVIVyehsXbIkWEzoMvm78w,YXTBz_6lFjNTiKwzWhhcCHiJEDkHPJQHp996phlV-ZikL0VVn4dV4a6d,uPkPsnCoOpL2wT6yk05fbuNA3rYn84qN2ajCkCNDDhmx9hpviFaVgwejlyr9-yU9_ZxA1Ude2kE29g,Eyla,5414,1681013115000,169
28,GZdPA5NLq8dAJCt5h4I1hSeGyD7r_0QL2tc-fsjkVxjonWRyJOMnjiBLeA,xtEaD1X_fd_M4Xow_PXAHs4BYUr_rIHFJEFoI2FMRxidala0Og03amMZ,D2RHXuAn_wz_ObyVX0QOAETyBWvHNUM0YRP5wt0h94vYUBGxVUBR_b6z4H8tVam4ypI7_vF7Eg0AEA,maces,5499,1681700020964,136
29,hZeIR0UjVnowSCmYFs4inQbmgnLcij4tGkDZVhI8fxDY2EE,Gz_gBWZfM8KfrPnM8dtrmxcrEBLTqkKWhbNEYtQPZeIzX9o,FYZAfzNHOvHRSuRlhDojhQrte105BOnUEPPnpWhYeTdBnStrdhgt1Xr0zWBknPSTV_o0Qk5a2IH59Q,Jauny12,7,1681620628000,518
30,n_2OREURnRp1V_bgGASlV8t5S5bsxjUuFwqE6p8lT4LZQK0,xLsDcJITOwYAWXNO8OJhH-iprN2TXetrFeH2lVDCXNR7p3U,rdlpWE8E4Lzs2dEz3JP9CdcvvAvbMkZdIwvAI6mQtwjGS_B9pfct8GQHBf21TYt7T4T-UX_JDBtWZg,lunacia,3840,1681723059975,850
31,19LJJmTWyBiEV-cxGti3OjrccoTHFQn1Zt1tpwWh-QsxHuM,H27LV4PznoJWkyp3oRuwXJag_y67Yaemkz8nomjYlUW33bA,37xg_gASUqNF3K6yr8km1peSkDJ877-m_ZsqOPbOOeO5ePosjcL6yzUWom7Ok1XaZq3synij5wiiTw,tortwig,23,1681594320000,226
32,jlJnQ-2FAWNh-agxAvwxgBHkcWNRK6RFUa14nqHia1xZN4TW0rRf4DTUQw,CwH4eTVePHAAPUHPGZEGZ6_oqfElEpKX_2-560FMfj5DkH8QFbnTFsAU,TM4MMyybM2Fza9EJoW3YYkuKty1o81HiwhcwBIRsFh9B9AxX8ePyDx6kTqMqUJ-BmLmWO1PE_HJNJw,rainº,29,1681688570000,110
33,S5EYwsuWDCxfGz-L6FY7Yxtp90P4X9Js2sL_t13Jsx_4fkgQaqn0kl5ofw,MgdxjPL-pEaMm89fb8Rh4OvZPqxtvvHa_aExI0cPblnbdU1YIL2eegYu,NwpWz9HKPzYNXRe0xNQDFO4tD7SlKr6AgQDZuXiGiox55H9POJJ8Xjo7aBWyZyJlpT5NVJp3AaCC7g,wellwode,14,1680931194000,119
34,5OupFALHd6ZTB3M1meKR_wCa-wxXinPVIZ5lcpZgL1x5Nio,HcSCNG8LP_tGIZ5AK55sIjMmmRp_HrR3zVazOv05x3zjM7UH705JHiKk,qjmrXxalDOMXfhlIgi9nAdGKJI7xEUWif8dZFcJXFJjkXntOHlL2_q4I_yg4Lpbr1PDoWzkSD5nNNQ,ZED04,7,1681695380000,331
35,UrkR4829BCwkdLoU_z4YL65ParuHgxGB6hirlBMlc_hDC6HrD_odrIqByA,owLkNE8B9N0m_wgC1Q9EPDrDf1F_UYhwbMNUrI7uKxOAVUcizxdmIncg,MuIe3cE3kdYOkW-rUEPwPsKQXBEj-TnYLrBU66vzKh4fBe9WVZUZQIW6k2LDw_Tvj-q_GUY8HW3LXw,Rocks Jgl Acc,2072,1681454494000,46
36,f6jyWsUCbpSFvcX9EQh_86DjRv3JyTFf_0fErTMeYjIxcAY,fUngg2btPOubksEh1e4BGgguuMLZYJfqS80ElWQldwFU0zk,VPNjY7bV2apioLHg7vLRvmYUmsDbsMBr3Sc3ZpXX854VlyZ_yXt7tJ5U3P45ycxRSpof37isizyqCQ,Sandflame,591,1681709847049,674
37,oR89TvJF182Iet25PlAn01XX-wEfvdOrmZhmnmVkajkJQA-S6ObvQElpSA,golAyPVnz36rmbfpN60Yp2l9ULZ1k3lUFp76Xff8LGAgRLswEidiOYoc,BVEHMQ2gL2DYik0TXzQ_px8MCPlO2PAtYR4li3SZvUXRWErj8ZfNaUvsScsYaUTS3aMInhx1qrf31A,bigboichoi69,5650,1681702538153,193
38,c1mXy2EzKSiTZrZ4dx93kKvPJ9765GcjDKZGkIo5TyGpxopz,JSDSApHttFpFBzw657cP7OX7LfCFAA5Jiv9U_Z1yLzNPtnhZaMk4TbEt,aQjXVl6ELfphBrEtxPfD7sv0pltj5wOxblMoqFB5EBYg-Kov6Qc6y6X44u49bo1ANUURKm8Q-3NY8Q,Wx FORA999,4650,1681713713570,518
39,uuchrpnPUOzm2gBhsQsgSNuWsaqnZHYJGNNx_VorzgrQrzQR,F5nDueCb4NNnC7hKjOKyeZDNQTno08gC2iqi4BbmICBpDyAoLXtdJSbD,eTnnqpmYK2E3cFsbLHS00osoJwBU9UHkj4e8q4BpevY4wwXS6cd49NJb-TOu_0hPeHYBy_uf39GnPQ,for maiii,4650,1681714434636,562
40,x1X3Jpdkg14ROrwK11WxQf9mKvdAF5DgI_rKnL-XkiKBntc,wSy3wpNImd3NEyQDggufBLtl6roSN6dFIB3V4hw43Om64aE,xTdyANb3QME2m_TkRy7iPWPPvDfofCQvGWfmDxbQdiGJnJFRs1mz0TWsXbVIumtrG9o1UjHNsU8v_A,Emperor of Light,5736,1681053658000,189
41,lIXHLMVAJAl1K1iLxTv09DJBVd-h8sAUtJ9gVY0Iyd7j-Tw,vl-YSKzIytY1Z52nyNhX_8gfFIoNP_bvJXlKtXH3qkbB-ck,r5soaGoC9wTQK_txHrZ_O89Z9HzaexLL3UAjo-XVNEyx3wWA9sRfdHBqZyqnMu59u7scXne2D2sKvw,IS THAT FEEDABOI,3501,1681427553000,299
42,skDUPUWWYEVxHVWS8vfxkbvL8h9UsPeXkFdQDc9G3j41tA0,T1Xh4KyOzIIQ6VrYIJucZGiN3yz-C_9EjK0kGlRQLfSBk-E,CaDtNN6ltGEwhQinUrbuz2NBkqAYJnYpiYXnR43zgDqyCzleQ3NZuopBodcxFYRmPH_vEGzqSIZzOg,Matcha Tamago,5737,1681709811742,673
43,h49BYHu1H5c5yK_8nlpEJQrsgx9hmEeTIyVKIy_UQC9slKg,OX5GlF4BENa6oS7hgj2GXxQJYvgc_MflU6GYlR1TNmCSEhg,DuXcN2BeE4EKRL8G6BiMEvJJu45ra__MYDTOMiCwHRkjyNOG4A-kzYy1oz1AptrMqrRuZI2DaTdBYg,Gmandlife,3625,1681701747208,732
44,VYxtR8ViDJowbtllFT1mBTtW92GeGKMhxcwt8i0SZXkczwg,Rqhn_wZnI8gbvjge-sUzRXHtzMo7Gprl7GYO5yLA44IULw,XVe7-48bTDgmPeGtzRIVl1Pnhi3KqJmKhQpbT2_fmq_-Jy2BnbB5be-yg-otCYjIwvTTc4xdmPESgg,Julien,1415,1681666070930,372
45,m_itJHOCCXskXxL81I7AXItqHWGw6Hb55vS9ZwrOLEXpC8xBxQ4Ppv7nwg,iqx8VHOc6ZSMGi5kcHWJGbkaPY0ZwiokvOs9piq03byJ3snUZKogGNqf,MRGykstkaWg90wjgN0cGNdJwatiW9-DEpSrBKMbgkxpLp8w7XoFJX8ysPwU73loaQXnY-otct6wFOg,Pigeon Enjoyer,5416,1681681152271,92
46,YsOwF3EAkuNsLyZPz1_9ryEqoAa6jMAf7cMuw7iY0m-T7DdD,5LHkI7kwdZpzzvcFU6Um0sDC5iJ0MnX63ag8JyAi6hJKzSXIemH84lC-,m6HtMKBcb8asFnGA1xFhvHn_BQtHS3gfKHd_A6hAIzm_D_S8y2-5kvE1IY8RbqzYaSx3tMh3Oay0fg,TL Honda Rovex,5641,1681703735139,204
47,wExf6cnsRMDI4IMu4cu-yGnNe_LIipPSwbvwmZUvBCRQqTRvfpk8Iww1RA,26cwIDpW0F2NTw0y1Rsv3obAvDHSgjrE76kdLmEH1uGSLYGtLQEnWmdD,Qht8CV-kz0IpRsetrQyBmuwdgiqqwGJ6dBRbCJLUtO9W-35qvjfk7bJcf4trbKtOUMY9bRommZHIDw,Get Pongered,1426,1681708403249,49
48,c0Hgi_N5lOpQBRcpURlnZCa389cCLh5K7UTwBtCCukxLfiQ,Fhhqm13eCudiaWu9XlZDyDSO8qcn5_ABTawgaeKtHQQGEKE,49fe8byfGQODuEjf09U34UGGdiiqLP6NCq6tVTzTIQmREL4IdhH723SiW8xhDMuqsX6vJbtxeto0GQ,sopjsafjp,22,1681544554000,270
49,KFRxI1VMhhydQhsZJL3-RXPtEl5sL_LdPY9go5-E51R-42M,EEVp5_DRd1xgwG4xGlhV2oVj6gN4xUOkP1Di173eVr2ihuw,ATScmwQIWnjj5lClsWv1-fEg0IccWl-1jM2PIKe9vMdEGb_XIuDnhXeW7p1MPMpOYl8OF4S0Hddwag,thiccsai,5076,1681695979052,329
50,6Srko9_hHWXeiuTfCOKn5pUI7lkXzfLZY87zDx_4cyHuVR0,4MPP3xpfdYKdXMJSLIkWzUdM-XlBE4wB4UeiaP0G-NUGIg,eDO8tyjz-jKv_6RKEC1GxiLakEWI7w5w7aVFC0UKMTUfYcENP1XTsMXlG7mrxj1QKG2hWwgxdk9ERg,Dragoon,5634,1681633847000,324
51,_qTAuP-YP5Dg84In9Q1l5TVTGuBH7T41RHx4N7DoN6qfHCM,kaClbe2LIaScEB7u2UhfXc1TaqV27s_VY54cx1JLoAn4DTU,ahAxblaPxVuSn3-BPPJ751xSeQcNZJFaYNaey0A-8IF3-JsX8Gv1mZKdj7CHA21O4FOHwXiMlwDpzQ,Khalood Habibi,539,1681707902744,685
52,0sQoBn_RZPWmClqGG-jPkVfhAmoFoYWpnNvGJwptRWRzPCPn,1Z9DmTLsq7X3ERQT1vJmc16yALMoCBtpAKSEIgofXCyX5_ij2kR43bIN,7IeFWvuVb7dwIl4VXq9afL11v_IyxmdSLeM-Lac8ilf6eaXM-yMgVBKeNk_t9dT7_TLnsY5uQkAILQ,Asyc,3464,1681696496412,943
53,9I7wvIkBX7fNah3lU7v10-So3MDlc_M-wQ3ct0BSz5uqJqrSmg5FrhuPiA,404hEQ961lFBUGPZJMvzlKr77M4oV9kGUTy5r41WZfQ9yuB7sfn0eCPL,61k5NlLwTL0OJn63ymtWkuR9bzfvfIO1k-IRvEFNny1N_8JjBEEZyoBbAbX9BJGWeduOHEM5FHEReQ,jot gat ne,18,1681004029000,66
54,Ghl5q1JnGaRZ-DC2YqqJLdznT12p0fsFgtsxNerlf1-egZE,SuqTtcZdyYNnp_xVZAKu_byyfTpInQ5HIsUQ7ZM4QAj0Btc,tzdVe-1bI71Isk8HKSmSvMdqWWRBtfTqDq3idHOvxx_ojTIja0-RiI9p8-fQiglK2abfF96OQ208VA,Eclipse,4036,1681710832204,650
