,match_id,blue_top,blue_jungle,blue_middle,blue_bottom,blue_support,red_top,red_jungle,red_middle,red_bottom,red_support,blue_win
67,NA1_4628669626,Azir,Viego,Galio,Jinx,Thresh,Mordekaiser,LeeSin,Cassiopeia,Kaisa,XinZhao,False
68,NA1_4629414683,Jax,Ivern,Annie,Caitlyn,Milio,Rumble,Nidalee,Akshan,Xayah,Rakan,True
69,NA1_4625287289,Volibear,Nunu,Anivia,Samira,Nautilus,Olaf,JarvanIV,LeeSin,Seraphine,Soraka,True
70,NA1_4630317371,Jayce,Nocturne,Rumble,Xayah,Lux,KSante,MonkeyKing,Leblanc,Jinx,Heimerdinger,False
71,NA1_4623680649,Aatrox,Evelynn,Renekton,Thresh,Aphelios,Gragas,Graves,Malphite,Xayah,Rakan,False
72,NA1_4627280661,Sylas,Kindred,Sejuani,Samira,Pyke,Sett,LeeSin,Zoe,Karthus,Senna,False
73,NA1_4621831740,Fiora,Graves,Pantheon,Varus,Ashe,Draven,Rengar,Ahri,Jinx,Lulu,False
74,NA1_4630288302,Soraka,Jax,RekSai,Xayah,Sylas,Sett,Nocturne,Alistar,Jhin,Mordekaiser,False
75,NA1_4629151565,KSante,Kindred,FiddleSticks,Twitch,Karma,Yone,Nocturne,Galio,Caitlyn,Lux,True
76,NA1_4629962837,Olaf,Khazix,Anivia,Zeri,Seraphine,Jayce,Graves,Sylas,Varus,Amumu,False
77,NA1_4630661575,Jax,Karthus,Renekton,Zeri,Annie,Kennen,Gragas,Qiyana,Jhin,Sona,True
78,NA1_4622116784,Kennen,Evelynn,Qiyana,Jinx,Pyke,Neeko,Graves,Galio,Xayah,Rakan,True
79,NA1_4621876037,Rengar,MonkeyKing,Zoe,Draven,Twitch,Sett,Shaco,Zed,Caitlyn,Annie,True
80,NA1_4631571911,Gwen,Ekko,Yasuo,Xayah,Milio,Gangplank,Udyr,Neeko,Caitlyn,Senna,True
81,NA1_4623054085,Kennen,MonkeyKing,Ekko,Kalista,Rakan,Tryndamere,JarvanIV,Azir,Samira,Maokai,True
82,NA1_4631225738,Aatrox,Kayn,Lux,Xayah,Blitzcrank,Kled,Zac,Ekko,Zeri,Milio,False
83,NA1_4618811227,Jax,Graves,Chogath,Draven,Karma,Tryndamere,Ekko,Sett,Ashe,Janna,True
84,NA1_4615657646,Yasuo,MonkeyKing,Gragas,Samira,Blitzcrank,Kennen,Taliyah,Talon,Seraphine,Pyke,False
85,NA1_4624677398,Kennen,Graves,Irelia,Xayah,Nautilus,KSante,Hecarim,Cassiopeia,Jinx,Braum,False
86,NA1_4622204288,Jayce,Kayn,Lux,Xayah,Thresh,Irelia,LeeSin,Ahri,Lucian,Nami,True
87,NA1_4618215481,Aatrox,MonkeyKing,Syndra,Xayah,Rakan,Jayce,Gragas,Galio,Jhin,Bard,True
88,NA1_4618620655,Gragas,Rengar,Renekton,Seraphine,Senna,Jayce,Elise,Rumble,Aphelios,Rell,True
89,NA1_4614678945,Renekton,Udyr,Pantheon,Zeri,Lulu,Malphite,MasterYi,Annie,Aphelios,Thresh,False
90,NA1_4630415763,Renekton,MonkeyKing,Lux,Ashe,Milio,Kennen,Ekko,LeeSin,Jinx,Karma,True
91,NA1_4630052684,Gangplank,Diana,Yasuo,Vayne,Pyke,Rengar,Viego,Ahri,Lux,Xerath,False
92,NA1_4629687142,Sion,Udyr,Gragas,Aphelios,Pyke,Gnar,Viego,Cassiopeia,Jinx,Milio,False
93,NA1_4631812393,Aatrox,FiddleSticks,Akshan,Xayah,Alistar,Ornn,Rakan,Yasuo,Twitch,Rumble,False
94,NA1_4627455546,Jax,Diana,Jayce,Xayah,Pyke,Renekton,Viego,Zoe,Aphelios,Rakan,False
95,NA1_4629774276,KSante,MonkeyKing,Ryze,Zeri,Soraka,Cassiopeia,LeeSin,Lux,Jinx,Seraphine,False
