,0
404,NA1_4617362091
405,NA1_4610840648
406,NA1_4619835038
407,NA1_4623905698
408,NA1_4625813025
409,NA1_4625383006
410,NA1_4621724156
411,NA1_4622229442
412,NA1_4631540776
413,NA1_4625462362
414,NA1_4631451694
415,NA1_4629805882
416,NA1_4627035776
417,NA1_4612676955
418,NA1_4631520674
419,NA1_4631979980
420,NA1_4629476566
421,NA1_4624066501
422,NA1_4629763509
423,NA1_4617917840
424,NA1_4620047089
425,NA1_4630747578
426,NA1_4619218090
427,NA1_4616919140
428,NA1_4618793421
429,NA1_4617609354
430,NA1_4630745430
431,NA1_4623638194
432,NA1_4620836331
433,NA1_4624466116
434,NA1_4623170456
435,NA1_4620548241
436,NA1_4630934867
437,NA1_4617284068
438,NA1_4626743411
439,NA1_4630036310
440,NA1_4619728547
441,NA1_4632279738
442,NA1_4625719383
443,NA1_4622940902
444,NA1_4630030295
445,NA1_4622997822
446,NA1_4626736965
447,NA1_4616363950
448,NA1_4627814767
449,NA1_4630748178
450,NA1_4631434779
451,NA1_4616134842
452,NA1_4626122594
453,NA1_4626435917
454,NA1_4626807991
455,NA1_4611944145
456,NA1_4621766077
457,NA1_4619635512
458,NA1_4631897384
459,NA1_4630733063
460,NA1_4618422665
461,NA1_4607426415
462,NA1_4613976056
463,NA1_4617848036
464,NA1_4619450331
465,NA1_4620085868
466,NA1_4630883436
467,NA1_4630591889
468,NA1_4620921501
469,NA1_4630779986
470,NA1_4631527839
471,NA1_4620059728
472,NA1_4619562274
473,NA1_4616959968
474,NA1_4627959506
475,NA1_4611663505
476,NA1_4621104265
477,NA1_4623566263
478,NA1_4631445390
479,NA1_4619307149
480,NA1_4627582114
481,NA1_4627661924
482,NA1_4628094326
483,NA1_4630648497
484,NA1_4631016783
485,NA1_4621038287
486,NA1_4627022640
487,NA1_4609843834
488,NA1_4614349676
489,NA1_4615625483
490,NA1_4629965481
491,NA1_4631553257
492,NA1_4620172718
493,NA1_4623930616
494,NA1_4628544315
495,NA1_4622405718
496,NA1_4616139023
497,NA1_4622988388
498,NA1_4618084196
499,NA1_4627006605
500,NA1_4627042800
501,NA1_4630788480
502,NA1_4631681966
503,NA1_4625395558
504,NA1_4612990273
505,NA1_4630804226
506,NA1_4627526250
507,NA1_4629007539
508,NA1_4613809279
509,NA1_4620325849
510,NA1_4618624976
511,NA1_4629429971
512,NA1_4629809931
513,NA1_4617201814
514,NA1_4632158987
515,NA1_4617368483
516,NA1_4628037970
517,NA1_4623770855
518,NA1_4629471889
519,NA1_4606116860
520,NA1_4629415562
521,NA1_4625587817
522,NA1_4619491766
523,NA1_4630708487
524,NA1_4623692253
525,NA1_4626023026
526,NA1_4628039152
527,NA1_4626829313
528,NA1_4628603684
529,NA1_4623493603
530,NA1_4630996246
531,NA1_4623481445
532,NA1_4631741422
533,NA1_4632192108
534,NA1_4621534437
535,NA1_4629728897
536,NA1_4629097799
537,NA1_4609629701
538,NA1_4611884860
539,NA1_4630616278
540,NA1_4628607305
541,NA1_4622945980
542,NA1_4609157742
543,NA1_4623717080
544,NA1_4615565612
545,NA1_4628113480
546,NA1_4618825784
547,NA1_4630414632
548,NA1_4620721401
549,NA1_4617329007
550,NA1_4631129787
551,NA1_4620150597
552,NA1_4619731916
553,NA1_4629233305
554,NA1_4619683913
555,NA1_4631285810
556,NA1_4631646134
557,NA1_4619031430
558,NA1_4622825610
559,NA1_4629311192
560,NA1_4606652620
561,NA1_4622688530
562,NA1_4629171868
563,NA1_4626084030
564,NA1_4613751146
565,NA1_4629742133
566,NA1_4631043899
567,NA1_4623215392
568,NA1_4631150592
569,NA1_4631763760
570,NA1_4622424423
571,NA1_4627720016
572,NA1_4626346133
573,NA1_4620614512
574,NA1_4630688514
575,NA1_4630099687
576,NA1_4619628495
577,NA1_4616494629
578,NA1_4629281959
579,NA1_4618608530
580,NA1_4614334869
581,NA1_4628635476
582,NA1_4617494644
583,NA1_4626444114
584,NA1_4620876024
585,NA1_4617527454
586,NA1_4618137900
587,NA1_4626909059
588,NA1_4629930710
589,NA1_4627355162
590,NA1_4627737771
591,NA1_4629793917
592,NA1_4620819717
593,NA1_4606733622
594,NA1_4630062438
595,NA1_4630226281
596,NA1_4623976710
597,NA1_4620090344
598,NA1_4619795195
599,NA1_4617436981
600,NA1_4615281344
601,NA1_4629643627
602,NA1_4632003744
603,NA1_4629364138
604,NA1_4621154720
605,NA1_4628073801
606,NA1_4629080439
607,NA1_4626337110
608,NA1_4626346089
609,NA1_4624708703
610,NA1_4630670343
611,NA1_4614513795
612,NA1_4623541025
613,NA1_4618756988
614,NA1_4631244103
615,NA1_4625640794
616,NA1_4615835406
617,NA1_4626970607
618,NA1_4626904218
619,NA1_4629465861
620,NA1_4629096262
621,NA1_4628168685
622,NA1_4624100004
623,NA1_4631252166
624,NA1_4628455069
625,NA1_4632210472
626,NA1_4630700902
627,NA1_4618290903
628,NA1_4626142044
629,NA1_4632287142
630,NA1_4606407491
631,NA1_4619244135
632,NA1_4627122571
633,NA1_4627166871
634,NA1_4606599708
635,NA1_4630245668
636,NA1_4629920623
637,NA1_4624732237
638,NA1_4625727507
639,NA1_4624077316
640,NA1_4631331980
641,NA1_4625303951
642,NA1_4626013175
643,NA1_4631211457
644,NA1_4630621543
645,NA1_4608935066
646,NA1_4622652859
647,NA1_4615638833
648,NA1_4611904115
649,NA1_4618341859
650,NA1_4613838832
651,NA1_4617303026
652,NA1_4610531161
653,NA1_4618188014
654,NA1_4622928051
655,NA1_4626359881
656,NA1_4624149315
657,NA1_4616672518
658,NA1_4627684456
659,NA1_4623742214
660,NA1_4614692524
661,NA1_4620753957
662,NA1_4629899518
663,NA1_4624611868
664,NA1_4631855311
665,NA1_4628954990
666,NA1_4623704458
667,NA1_4616040854
668,NA1_4614923851
669,NA1_4615494532
670,NA1_4629596662
671,NA1_4627324467
672,NA1_4623812308
673,NA1_4629378566
674,NA1_4627003974
675,NA1_4611812859
676,NA1_4629750513
677,NA1_4616990686
678,NA1_4631146983
679,NA1_4623350159
680,NA1_4631710275
681,NA1_4620587041
682,NA1_4631745308
683,NA1_4630102377
684,NA1_4625343036
685,NA1_4621519462
686,NA1_4624161168
687,NA1_4618438633
688,NA1_4625467497
689,NA1_4628611425
690,NA1_4615307464
691,NA1_4630748571
692,NA1_4631232229
693,NA1_4628507186
694,NA1_4627189047
695,NA1_4618109899
696,NA1_4631933545
697,NA1_4629698740
698,NA1_4617866929
699,NA1_4625621056
700,NA1_4625575876
701,NA1_4626706024
702,NA1_4630713381
703,NA1_4622832509
704,NA1_4630493699
705,NA1_4625183647
706,NA1_4631922337
707,NA1_4625701139
708,NA1_4631036146
709,NA1_4628554852
710,NA1_4621281801
711,NA1_4615822538
712,NA1_4625405861
713,NA1_4623106996
714,NA1_4613943230
715,NA1_4607984815
716,NA1_4630522138
717,NA1_4631422188
718,NA1_4629589096
719,NA1_4624657028
720,NA1_4630554445
721,NA1_4628782110
722,NA1_4627599144
723,NA1_4628216987
724,NA1_4627119315
725,NA1_4612378867
726,NA1_4623511075
727,NA1_4620371293
728,NA1_4611923794
729,NA1_4628066316
730,NA1_4631930101
731,NA1_4616700279
732,NA1_4629547539
733,NA1_4631235444
734,NA1_4616639867
735,NA1_4626427989
736,NA1_4617337403
737,NA1_4607220544
738,NA1_4626112459
739,NA1_4622909667
740,NA1_4621834884
741,NA1_4624867198
742,NA1_4614875671
743,NA1_4624515232
744,NA1_4628982079
745,NA1_4628036884
746,NA1_4620298840
747,NA1_4618295700
748,NA1_4613096624
749,NA1_4615716773
750,NA1_4617153722
751,NA1_4617712760
752,NA1_4624761410
753,NA1_4629627887
754,NA1_4629782642
755,NA1_4630475070
756,NA1_4620606352
757,NA1_4628018321
758,NA1_4617094360
759,NA1_4623718399
760,NA1_4626918054
761,NA1_4609118854
762,NA1_4622393540
763,NA1_4614790001
764,NA1_4630708299
765,NA1_4629704463
766,NA1_4622893186
767,NA1_4619868674
768,NA1_4630851497
769,NA1_4628254365
770,NA1_4621636856
771,NA1_4612849483
772,NA1_4619750760
773,NA1_4627640997
774,NA1_4628392479
775,NA1_4623993631
776,NA1_4626336028
777,NA1_4620160157
778,NA1_4630869891
779,NA1_4621488276
780,NA1_4632218107
781,NA1_4628082774
782,NA1_4629763123
783,NA1_4630640021
784,NA1_4630444620
785,NA1_4631183545
786,NA1_4619782996
787,NA1_4629205489
788,NA1_4615629282
789,NA1_4630611556
790,NA1_4621779222
791,NA1_4622945288
792,NA1_4631157604
793,NA1_4625546950
794,NA1_4625942181
795,NA1_4628949348
796,NA1_4630966410
797,NA1_4618508313
798,NA1_4630158045
799,NA1_4612805908
800,NA1_4630155177
801,NA1_4619682292
802,NA1_4622214836
803,NA1_4631131657
804,NA1_4614324388
805,NA1_4617969205
806,NA1_4626004143
807,NA1_4621059302
808,NA1_4629069636
809,NA1_4630954585
810,NA1_4618267184
811,NA1_4622647507
812,NA1_4622279259
813,NA1_4612971672
814,NA1_4617743637
815,NA1_4623076694
816,NA1_4622296094
817,NA1_4631124373
818,NA1_4627940668
819,NA1_4628002598
820,NA1_4622347045
821,NA1_4619879614
822,NA1_4618060717
823,NA1_4629498841
824,NA1_4632199269
825,NA1_4625895143
826,NA1_4631207996
827,NA1_4624226324
828,NA1_4628531429
829,NA1_4627478384
830,NA1_4631262578
831,NA1_4632173009
832,NA1_4629738091
833,NA1_4626038044
834,NA1_4626133861
835,NA1_4617645434
836,NA1_4626637584
837,NA1_4622766134
838,NA1_4632122930
839,NA1_4617411077
840,NA1_4620610348
841,NA1_4626947416
842,NA1_4630546928
843,NA1_4626910431
844,NA1_4614774506
845,NA1_4629355422
846,NA1_4616132210
847,NA1_4620199431
848,NA1_4625935842
849,NA1_4618755394
850,NA1_4628268165
851,NA1_4629757297
852,NA1_4629780346
853,NA1_4629096572
854,NA1_4621352305
855,NA1_4625440587
856,NA1_4631438191
857,NA1_4627940036
858,NA1_4621774456
859,NA1_4615110730
860,NA1_4629202717
861,NA1_4623673125
862,NA1_4629083666
863,NA1_4630556936
864,NA1_4622927118
865,NA1_4628241738
866,NA1_4628095780
867,NA1_4631080186
868,NA1_4615442640
869,NA1_4614386036
870,NA1_4632173422
871,NA1_4622639447
872,NA1_4623610441
873,NA1_4628484138
874,NA1_4621857804
875,NA1_4631453647
876,NA1_4607054904
877,NA1_4629486728
878,NA1_4626047110
879,NA1_4625526890
880,NA1_4623960417
881,NA1_4630641959
882,NA1_4624007569
883,NA1_4628422320
884,NA1_4620938937
885,NA1_4626898694
886,NA1_4631482551
887,NA1_4612424109
888,NA1_4629886281
889,NA1_4615266693
